,Unnamed: 0,location,capital,lat,lon,year,month,new_cases,date,richter
81,81,Albania,Tirane,41.18,19.49,2022,10,0,10/1/2022,5
82,82,Albania,Tirane,41.18,19.49,2022,11,0,11/1/2022,5
83,83,Albania,Tirane,41.18,19.49,2022,12,0,12/1/2022,5
84,84,Albania,Tirane,41.18,19.49,2023,1,0,1/1/2023,4
85,85,Albania,Tirane,41.18,19.49,2023,2,0,2/1/2023,4
86,86,Albania,Tirane,41.18,19.49,2023,3,0,3/1/2023,3
87,87,Albania,Tirane,41.18,19.49,2023,4,0,4/1/2023,2
88,88,Albania,Tirane,41.18,19.49,2023,5,0,5/1/2023,3
89,89,Albania,Tirane,41.18,19.49,2023,6,0,6/1/2023,3
90,90,Albania,Tirane,41.18,19.49,2023,7,0,7/1/2023,3
91,91,Albania,Tirane,41.18,19.49,2023,8,0,8/1/2023,3
92,92,Albania,Tirane,41.18,19.49,2023,9,0,9/1/2023,2
93,93,Albania,Tirane,41.18,19.49,2023,10,0,10/1/2023,3
94,94,Albania,Tirane,41.18,19.49,2023,11,0,11/1/2023,2
95,95,Albania,Tirane,41.18,19.49,2023,12,0,12/1/2023,3
96,96,Algeria,Algiers,36.42,3.08,2020,1,0,1/1/2020,5
97,97,Algeria,Algiers,36.42,3.08,2020,2,0,2/1/2020,5
98,98,Algeria,Algiers,36.42,3.08,2020,3,0,3/1/2020,5
99,99,Algeria,Algiers,36.42,3.08,2020,4,0,4/1/2020,5
100,100,Algeria,Algiers,36.42,3.08,2020,5,0,5/1/2020,5
101,101,Algeria,Algiers,36.42,3.08,2020,6,0,6/1/2020,5
102,102,Algeria,Algiers,36.42,3.08,2020,7,0,7/1/2020,6
103,103,Algeria,Algiers,36.42,3.08,2020,8,0,8/1/2020,6
104,104,Algeria,Algiers,36.42,3.08,2020,9,0,9/1/2020,5
105,105,Algeria,Algiers,36.42,3.08,2020,10,0,10/1/2020,5
106,106,Algeria,Algiers,36.42,3.08,2020,11,0,11/1/2020,6
107,107,Algeria,Algiers,36.42,3.08,2020,12,0,12/1/2020,6
108,108,Algeria,Algiers,36.42,3.08,2021,1,0,1/1/2021,5
109,109,Algeria,Algiers,36.42,3.08,2021,2,0,2/1/2021,5
110,110,Algeria,Algiers,36.42,3.08,2021,3,0,3/1/2021,5
111,111,Algeria,Algiers,36.42,3.08,2021,4,0,4/1/2021,5
112,112,Algeria,Algiers,36.42,3.08,2021,5,0,5/1/2021,5
113,113,Algeria,Algiers,36.42,3.08,2021,6,0,6/1/2021,5
114,114,Algeria,Algiers,36.42,3.08,2021,7,0,7/1/2021,6
115,115,Algeria,Algiers,36.42,3.08,2021,8,0,8/1/2021,6
116,116,Algeria,Algiers,36.42,3.08,2021,9,0,9/1/2021,5
117,117,Algeria,Algiers,36.42,3.08,2021,10,0,10/1/2021,5
118,118,Algeria,Algiers,36.42,3.08,2021,11,0,11/1/2021,5
119,119,Algeria,Algiers,36.42,3.08,2021,12,0,12/1/2021,5
120,120,Algeria,Algiers,36.42,3.08,2022,1,0,1/1/2022,6
121,121,Algeria,Algiers,36.42,3.08,2022,2,0,2/1/2022,5
122,122,Algeria,Algiers,36.42,3.08,2022,3,0,3/1/2022,5
123,123,Algeria,Algiers,36.42,3.08,2022,4,0,4/1/2022,5
124,124,Algeria,Algiers,36.42,3.08,2022,5,0,5/1/2022,5
125,125,Algeria,Algiers,36.42,3.08,2022,6,0,6/1/2022,5
126,126,Algeria,Algiers,36.42,3.08,2022,7,0,7/1/2022,5
127,127,Algeria,Algiers,36.42,3.08,2022,8,0,8/1/2022,5
128,128,Algeria,Algiers,36.42,3.08,2022,9,0,9/1/2022,5
129,129,Algeria,Algiers,36.42,3.08,2022,10,0,10/1/2022,5
130,130,Algeria,Algiers,36.42,3.08,2022,11,0,11/1/2022,5
131,131,Algeria,Algiers,36.42,3.08,2022,12,0,12/1/2022,5
132,132,Algeria,Algiers,36.42,3.08,2023,1,0,1/1/2023,4
133,133,Algeria,Algiers,36.42,3.08,2023,2,0,2/1/2023,3
134,134,Algeria,Algiers,36.42,3.08,2023,3,0,3/1/2023,3
135,135,Algeria,Algiers,36.42,3.08,2023,4,0,4/1/2023,2
136,136,Algeria,Algiers,36.42,3.08,2023,5,0,5/1/2023,2
137,137,Algeria,Algiers,36.42,3.08,2023,6,0,6/1/2023,2
138,138,Algeria,Algiers,36.42,3.08,2023,7,0,7/1/2023,2
139,139,Algeria,Algiers,36.42,3.08,2023,8,0,8/1/2023,2
140,140,Algeria,Algiers,36.42,3.08,2023,9,0,9/1/2023,2
141,141,Algeria,Algiers,36.42,3.08,2023,10,0,10/1/2023,2
142,142,Algeria,Algiers,36.42,3.08,2023,11,0,11/1/2023,2
143,143,Algeria,Algiers,36.42,3.08,2023,12,0,12/1/2023,2
144,144,Andorra,Andorra la Vella,42.31,1.32,2020,1,0,1/1/2020,4
145,145,Andorra,Andorra la Vella,42.31,1.32,2020,2,0,2/1/2020,4
146,146,Andorra,Andorra la Vella,42.31,1.32,2020,3,0,3/1/2020,4
147,147,Andorra,Andorra la Vella,42.31,1.32,2020,4,0,4/1/2020,4
148,148,Andorra,Andorra la Vella,42.31,1.32,2020,5,0,5/1/2020,4
149,149,Andorra,Andorra la Vella,42.31,1.32,2020,6,0,6/1/2020,3
150,150,Andorra,Andorra la Vella,42.31,1.32,2020,7,0,7/1/2020,4
151,151,Andorra,Andorra la Vella,42.31,1.32,2020,8,0,8/1/2020,4
152,152,Andorra,Andorra la Vella,42.31,1.32,2020,9,0,9/1/2020,4
153,153,Andorra,Andorra la Vella,42.31,1.32,2020,10,0,10/1/2020,5
154,154,Andorra,Andorra la Vella,42.31,1.32,2020,11,0,11/1/2020,5
155,155,Andorra,Andorra la Vella,42.31,1.32,2020,12,0,12/1/2020,5
156,156,Andorra,Andorra la Vella,42.31,1.32,2021,1,0,1/1/2021,5
157,157,Andorra,Andorra la Vella,42.31,1.32,2021,2,0,2/1/2021,4
158,158,Andorra,Andorra la Vella,42.31,1.32,2021,3,0,3/1/2021,5
159,159,Andorra,Andorra la Vella,42.31,1.32,2021,4,0,4/1/2021,5
160,160,Andorra,Andorra la Vella,42.31,1.32,2021,5,0,5/1/2021,4
161,161,Andorra,Andorra la Vella,42.31,1.32,2021,6,0,6/1/2021,5
162,162,Andorra,Andorra la Vella,42.31,1.32,2021,7,0,7/1/2021,4
163,163,Andorra,Andorra la Vella,42.31,1.32,2021,8,0,8/1/2021,4
164,164,Andorra,Andorra la Vella,42.31,1.32,2021,9,0,9/1/2021,4
165,165,Andorra,Andorra la Vella,42.31,1.32,2021,10,0,10/1/2021,4
166,166,Andorra,Andorra la Vella,42.31,1.32,2021,11,0,11/1/2021,5
167,167,Andorra,Andorra la Vella,42.31,1.32,2021,12,0,12/1/2021,5
168,168,Andorra,Andorra la Vella,42.31,1.32,2022,1,0,1/1/2022,5
169,169,Andorra,Andorra la Vella,42.31,1.32,2022,2,0,2/1/2022,5
170,170,Andorra,Andorra la Vella,42.31,1.32,2022,3,0,3/1/2022,5
171,171,Andorra,Andorra la Vella,42.31,1.32,2022,4,0,4/1/2022,5
172,172,Andorra,Andorra la Vella,42.31,1.32,2022,5,0,5/1/2022,5
173,173,Andorra,Andorra la Vella,42.31,1.32,2022,6,0,6/1/2022,5
174,174,Andorra,Andorra la Vella,42.31,1.32,2022,7,0,7/1/2022,5
175,175,Andorra,Andorra la Vella,42.31,1.32,2022,8,0,8/1/2022,4
176,176,Andorra,Andorra la Vella,42.31,1.32,2022,9,0,9/1/2022,4
177,177,Andorra,Andorra la Vella,42.31,1.32,2022,10,0,10/1/2022,5
178,178,Andorra,Andorra la Vella,42.31,1.32,2022,11,0,11/1/2022,5
179,179,Andorra,Andorra la Vella,42.31,1.32,2022,12,0,12/1/2022,5
180,180,Andorra,Andorra la Vella,42.31,1.32,2023,1,0,1/1/2023,3
181,181,Andorra,Andorra la Vella,42.31,1.32,2023,2,0,2/1/2023,2
182,182,Andorra,Andorra la Vella,42.31,1.32,2023,3,0,3/1/2023,3
183,183,Andorra,Andorra la Vella,42.31,1.32,2023,4,0,4/1/2023,0
184,184,Andorra,Andorra la Vella,42.31,1.32,2023,5,0,5/1/2023,3
185,185,Andorra,Andorra la Vella,42.31,1.32,2023,6,0,6/1/2023,0
186,186,Andorra,Andorra la Vella,42.31,1.32,2023,7,0,7/1/2023,0
187,187,Andorra,Andorra la Vella,42.31,1.32,2023,8,0,8/1/2023,0
188,188,Andorra,Andorra la Vella,42.31,1.32,2023,9,0,9/1/2023,3
189,189,Andorra,Andorra la Vella,42.31,1.32,2023,10,0,10/1/2023,0
190,190,Andorra,Andorra la Vella,42.31,1.32,2023,11,0,11/1/2023,0
191,191,Andorra,Andorra la Vella,42.31,1.32,2023,12,0,12/1/2023,0
192,192,Angola,Luanda,-8.5,13.15,2020,1,0,1/1/2020,4
193,193,Angola,Luanda,-8.5,13.15,2020,2,0,2/1/2020,4
194,194,Angola,Luanda,-8.5,13.15,2020,3,0,3/1/2020,4
195,195,Angola,Luanda,-8.5,13.15,2020,4,0,4/1/2020,4
196,196,Angola,Luanda,-8.5,13.15,2020,5,0,5/1/2020,4
197,197,Angola,Luanda,-8.5,13.15,2020,6,0,6/1/2020,4
198,198,Angola,Luanda,-8.5,13.15,2020,7,0,7/1/2020,4
199,199,Angola,Luanda,-8.5,13.15,2020,8,0,8/1/2020,5
200,200,Angola,Luanda,-8.5,13.15,2020,9,0,9/1/2020,5
201,201,Angola,Luanda,-8.5,13.15,2020,10,0,10/1/2020,5
202,202,Angola,Luanda,-8.5,13.15,2020,11,0,11/1/2020,5
203,203,Angola,Luanda,-8.5,13.15,2020,12,0,12/1/2020,5
204,204,Angola,Luanda,-8.5,13.15,2021,1,0,1/1/2021,5
205,205,Angola,Luanda,-8.5,13.15,2021,2,0,2/1/2021,5
206,206,Angola,Luanda,-8.5,13.15,2021,3,0,3/1/2021,5
207,207,Angola,Luanda,-8.5,13.15,2021,4,0,4/1/2021,5
208,208,Angola,Luanda,-8.5,13.15,2021,5,0,5/1/2021,5
209,209,Angola,Luanda,-8.5,13.15,2021,6,0,6/1/2021,5
210,210,Angola,Luanda,-8.5,13.15,2021,7,0,7/1/2021,5
211,211,Angola,Luanda,-8.5,13.15,2021,8,0,8/1/2021,5
212,212,Angola,Luanda,-8.5,13.15,2021,9,0,9/1/2021,5
213,213,Angola,Luanda,-8.5,13.15,2021,10,0,10/1/2021,5
214,214,Angola,Luanda,-8.5,13.15,2021,11,0,11/1/2021,5
215,215,Angola,Luanda,-8.5,13.15,2021,12,0,12/1/2021,6
216,216,Angola,Luanda,-8.5,13.15,2022,1,0,1/1/2022,5
217,217,Angola,Luanda,-8.5,13.15,2022,2,0,2/1/2022,4
218,218,Angola,Luanda,-8.5,13.15,2022,3,0,3/1/2022,5
219,219,Angola,Luanda,-8.5,13.15,2022,4,0,4/1/2022,5
220,220,Angola,Luanda,-8.5,13.15,2022,5,0,5/1/2022,5
221,221,Angola,Luanda,-8.5,13.15,2022,6,0,6/1/2022,5
222,222,Angola,Luanda,-8.5,13.15,2022,7,0,7/1/2022,5
223,223,Angola,Luanda,-8.5,13.15,2022,8,0,8/1/2022,4
224,224,Angola,Luanda,-8.5,13.15,2022,9,0,9/1/2022,5
225,225,Angola,Luanda,-8.5,13.15,2022,10,0,10/1/2022,4
226,226,Angola,Luanda,-8.5,13.15,2022,11,0,11/1/2022,5
227,227,Angola,Luanda,-8.5,13.15,2022,12,0,12/1/2022,5
228,228,Angola,Luanda,-8.5,13.15,2023,1,0,1/1/2023,4
229,229,Angola,Luanda,-8.5,13.15,2023,2,0,2/1/2023,3
230,230,Angola,Luanda,-8.5,13.15,2023,3,0,3/1/2023,0
231,231,Angola,Luanda,-8.5,13.15,2023,4,0,4/1/2023,0
232,232,Angola,Luanda,-8.5,13.15,2023,5,0,5/1/2023,0
233,233,Angola,Luanda,-8.5,13.15,2023,6,0,6/1/2023,0
234,234,Angola,Luanda,-8.5,13.15,2023,7,0,7/1/2023,0
235,235,Angola,Luanda,-8.5,13.15,2023,8,0,8/1/2023,0
236,236,Angola,Luanda,-8.5,13.15,2023,9,0,9/1/2023,0
237,237,Angola,Luanda,-8.5,13.15,2023,10,0,10/1/2023,0
238,238,Angola,Luanda,-8.5,13.15,2023,11,0,11/1/2023,0
239,239,Angola,Luanda,-8.5,13.15,2023,12,0,12/1/2023,0
240,240,Antigua and Barbuda,West Indies,17.2,-61.48,2020,1,0,1/1/2020,2
241,241,Antigua and Barbuda,West Indies,17.2,-61.48,2020,2,0,2/1/2020,2
242,242,Antigua and Barbuda,West Indies,17.2,-61.48,2020,3,0,3/1/2020,3
243,243,Antigua and Barbuda,West Indies,17.2,-61.48,2020,4,0,4/1/2020,2
244,244,Antigua and Barbuda,West Indies,17.2,-61.48,2020,5,0,5/1/2020,2
245,245,Antigua and Barbuda,West Indies,17.2,-61.48,2020,6,0,6/1/2020,3
246,246,Antigua and Barbuda,West Indies,17.2,-61.48,2020,7,0,7/1/2020,3
247,247,Antigua and Barbuda,West Indies,17.2,-61.48,2020,8,0,8/1/2020,2
248,248,Antigua and Barbuda,West Indies,17.2,-61.48,2020,9,0,9/1/2020,2
249,249,Antigua and Barbuda,West Indies,17.2,-61.48,2020,10,0,10/1/2020,3
250,250,Antigua and Barbuda,West Indies,17.2,-61.48,2020,11,0,11/1/2020,3
251,251,Antigua and Barbuda,West Indies,17.2,-61.48,2020,12,0,12/1/2020,3
252,252,Antigua and Barbuda,West Indies,17.2,-61.48,2021,1,0,1/1/2021,4
253,253,Antigua and Barbuda,West Indies,17.2,-61.48,2021,2,0,2/1/2021,4
254,254,Antigua and Barbuda,West Indies,17.2,-61.48,2021,3,0,3/1/2021,4
255,255,Antigua and Barbuda,West Indies,17.2,-61.48,2021,4,0,4/1/2021,4
256,256,Antigua and Barbuda,West Indies,17.2,-61.48,2021,5,0,5/1/2021,4
257,257,Antigua and Barbuda,West Indies,17.2,-61.48,2021,6,0,6/1/2021,4
258,258,Antigua and Barbuda,West Indies,17.2,-61.48,2021,7,0,7/1/2021,4
259,259,Antigua and Barbuda,West Indies,17.2,-61.48,2021,8,0,8/1/2021,4
260,260,Antigua and Barbuda,West Indies,17.2,-61.48,2021,9,0,9/1/2021,5
261,261,Antigua and Barbuda,West Indies,17.2,-61.48,2021,10,0,10/1/2021,4
262,262,Antigua and Barbuda,West Indies,17.2,-61.48,2021,11,0,11/1/2021,4
263,263,Antigua and Barbuda,West Indies,17.2,-61.48,2021,12,0,12/1/2021,4
264,264,Antigua and Barbuda,West Indies,17.2,-61.48,2022,1,0,1/1/2022,5
265,265,Antigua and Barbuda,West Indies,17.2,-61.48,2022,2,0,2/1/2022,4
266,266,Antigua and Barbuda,West Indies,17.2,-61.48,2022,3,0,3/1/2022,3
267,267,Antigua and Barbuda,West Indies,17.2,-61.48,2022,4,0,4/1/2022,4
268,268,Antigua and Barbuda,West Indies,17.2,-61.48,2022,5,0,5/1/2022,4
269,269,Antigua and Barbuda,West Indies,17.2,-61.48,2022,6,0,6/1/2022,4
270,270,Antigua and Barbuda,West Indies,17.2,-61.48,2022,7,0,7/1/2022,4
271,271,Antigua and Barbuda,West Indies,17.2,-61.48,2022,8,0,8/1/2022,4
272,272,Antigua and Barbuda,West Indies,17.2,-61.48,2022,9,0,9/1/2022,4
273,273,Antigua and Barbuda,West Indies,17.2,-61.48,2022,10,0,10/1/2022,4
274,274,Antigua and Barbuda,West Indies,17.2,-61.48,2022,11,0,11/1/2022,3
275,275,Antigua and Barbuda,West Indies,17.2,-61.48,2022,12,0,12/1/2022,4
276,276,Antigua and Barbuda,West Indies,17.2,-61.48,2023,1,0,1/1/2023,0
277,277,Antigua and Barbuda,West Indies,17.2,-61.48,2023,2,0,2/1/2023,0
278,278,Antigua and Barbuda,West Indies,17.2,-61.48,2023,3,0,3/1/2023,0
279,279,Antigua and Barbuda,West Indies,17.2,-61.48,2023,4,0,4/1/2023,0
280,280,Antigua and Barbuda,West Indies,17.2,-61.48,2023,5,0,5/1/2023,0
281,281,Antigua and Barbuda,West Indies,17.2,-61.48,2023,6,0,6/1/2023,0
282,282,Antigua and Barbuda,West Indies,17.2,-61.48,2023,7,0,7/1/2023,0
283,283,Antigua and Barbuda,West Indies,17.2,-61.48,2023,8,0,8/1/2023,0
284,284,Antigua and Barbuda,West Indies,17.2,-61.48,2023,9,0,9/1/2023,0
285,285,Antigua and Barbuda,West Indies,17.2,-61.48,2023,10,0,10/1/2023,0
286,286,Antigua and Barbuda,West Indies,17.2,-61.48,2023,11,0,11/1/2023,0
287,287,Antigua and Barbuda,West Indies,17.2,-61.48,2023,12,0,12/1/2023,0
288,288,Argentina,Buenos Aires,-36.3,-60,2020,1,0,1/1/2020,6
289,289,Argentina,Buenos Aires,-36.3,-60,2020,2,0,2/1/2020,6
290,290,Argentina,Buenos Aires,-36.3,-60,2020,3,0,3/1/2020,6
291,291,Argentina,Buenos Aires,-36.3,-60,2020,4,0,4/1/2020,6
292,292,Argentina,Buenos Aires,-36.3,-60,2020,5,0,5/1/2020,6
293,293,Argentina,Buenos Aires,-36.3,-60,2020,6,0,6/1/2020,6
294,294,Argentina,Buenos Aires,-36.3,-60,2020,7,0,7/1/2020,7
295,295,Argentina,Buenos Aires,-36.3,-60,2020,8,0,8/1/2020,7
296,296,Argentina,Buenos Aires,-36.3,-60,2020,9,0,9/1/2020,7
297,297,Argentina,Buenos Aires,-36.3,-60,2020,10,0,10/1/2020,7
298,298,Argentina,Buenos Aires,-36.3,-60,2020,11,0,11/1/2020,7
299,299,Argentina,Buenos Aires,-36.3,-60,2020,12,0,12/1/2020,7
300,300,Argentina,Buenos Aires,-36.3,-60,2021,1,0,1/1/2021,7
301,301,Argentina,Buenos Aires,-36.3,-60,2021,2,0,2/1/2021,7
302,302,Argentina,Buenos Aires,-36.3,-60,2021,3,0,3/1/2021,7
303,303,Argentina,Buenos Aires,-36.3,-60,2021,4,0,4/1/2021,7
304,304,Argentina,Buenos Aires,-36.3,-60,2021,5,0,5/1/2021,7
305,305,Argentina,Buenos Aires,-36.3,-60,2021,6,0,6/1/2021,7
306,306,Argentina,Buenos Aires,-36.3,-60,2021,7,0,7/1/2021,7
307,307,Argentina,Buenos Aires,-36.3,-60,2021,8,0,8/1/2021,7
308,308,Argentina,Buenos Aires,-36.3,-60,2021,9,0,9/1/2021,7
309,309,Argentina,Buenos Aires,-36.3,-60,2021,10,0,10/1/2021,7
310,310,Argentina,Buenos Aires,-36.3,-60,2021,11,0,11/1/2021,7
311,311,Argentina,Buenos Aires,-36.3,-60,2021,12,0,12/1/2021,7
312,312,Argentina,Buenos Aires,-36.3,-60,2022,1,0,1/1/2022,8
313,313,Argentina,Buenos Aires,-36.3,-60,2022,2,0,2/1/2022,7
314,314,Argentina,Buenos Aires,-36.3,-60,2022,3,0,3/1/2022,7
315,315,Argentina,Buenos Aires,-36.3,-60,2022,4,0,4/1/2022,7
316,316,Argentina,Buenos Aires,-36.3,-60,2022,5,0,5/1/2022,7
317,317,Argentina,Buenos Aires,-36.3,-60,2022,6,0,6/1/2022,7
318,318,Argentina,Buenos Aires,-36.3,-60,2022,7,0,7/1/2022,7
319,319,Argentina,Buenos Aires,-36.3,-60,2022,8,0,8/1/2022,7
320,320,Argentina,Buenos Aires,-36.3,-60,2022,9,0,9/1/2022,7
321,321,Argentina,Buenos Aires,-36.3,-60,2022,10,0,10/1/2022,7
322,322,Argentina,Buenos Aires,-36.3,-60,2022,11,0,11/1/2022,7
323,323,Argentina,Buenos Aires,-36.3,-60,2022,12,0,12/1/2022,7
324,324,Argentina,Buenos Aires,-36.3,-60,2023,1,0,1/1/2023,6
325,325,Argentina,Buenos Aires,-36.3,-60,2023,2,0,2/1/2023,6
326,326,Argentina,Buenos Aires,-36.3,-60,2023,3,0,3/1/2023,0
327,327,Argentina,Buenos Aires,-36.3,-60,2023,4,0,4/1/2023,0
328,328,Argentina,Buenos Aires,-36.3,-60,2023,5,0,5/1/2023,0
329,329,Argentina,Buenos Aires,-36.3,-60,2023,6,0,6/1/2023,5
330,330,Argentina,Buenos Aires,-36.3,-60,2023,7,0,7/1/2023,0
331,331,Argentina,Buenos Aires,-36.3,-60,2023,8,0,8/1/2023,0
332,332,Argentina,Buenos Aires,-36.3,-60,2023,9,0,9/1/2023,6
333,333,Argentina,Buenos Aires,-36.3,-60,2023,10,0,10/1/2023,0
334,334,Argentina,Buenos Aires,-36.3,-60,2023,11,0,11/1/2023,0
335,335,Argentina,Buenos Aires,-36.3,-60,2023,12,0,12/1/2023,0
336,336,Armenia,Yerevan,40.1,44.31,2020,1,0,1/1/2020,5
337,337,Armenia,Yerevan,40.1,44.31,2020,2,0,2/1/2020,5
338,338,Armenia,Yerevan,40.1,44.31,2020,3,0,3/1/2020,5
339,339,Armenia,Yerevan,40.1,44.31,2020,4,0,4/1/2020,5
340,340,Armenia,Yerevan,40.1,44.31,2020,5,0,5/1/2020,6
341,341,Armenia,Yerevan,40.1,44.31,2020,6,0,6/1/2020,6
342,342,Armenia,Yerevan,40.1,44.31,2020,7,0,7/1/2020,6
343,343,Armenia,Yerevan,40.1,44.31,2020,8,0,8/1/2020,5
344,344,Armenia,Yerevan,40.1,44.31,2020,9,0,9/1/2020,5
345,345,Armenia,Yerevan,40.1,44.31,2020,10,0,10/1/2020,6
346,346,Armenia,Yerevan,40.1,44.31,2020,11,0,11/1/2020,6
