,Unnamed: 0,year,month,day,richter,area,region,deaths,lon,lat
42,43,1944,January,15,7.4,San Juan,Argentina,8000.0,-68.538594,-31.535107
43,44,1944,February,1,7.4,Gerede,Turkey,2790.0,32.193323,40.800325
44,45,1945,January,12,7.1,Mikawa,Japan,1961.0,139.8496959,38.7944865
45,46,1945,November,27,8.0,Makran Coast,Pakistan,4000.0,64.0,25.5
46,47,1946,May,31,5.9,Ustukran,Turkey,1300.0,28.970329,41.038284
47,48,1946,November,10,7.3,Ancash,Peru,1400.0,-77.05,-9.53305556
48,49,1946,December,29,8.1,Honshu,Japan,1362.0,138.72905,35.360638
49,50,1948,June,28,7.3,Fukui,Japan,3769.0,136.219494,36.064067
50,51,1948,October,5,7.3,Ashgabat,Turkmenistan,110000.0,58.238056,37.862499
51,52,1949,July,10,7.5,Khait,Tajikistan,12000.0,70.8815,39.1794
52,53,1949,August,5,6.8,Pelileo,Ecuador,5050.0,-78.537691,-1.324797
53,54,1950,August,15,8.6,Assam,India,1526.0,92.537842,26.244156
54,55,1951,August,2,5.8,Cosiguina,Nicaragua,1000.0,-86.251389,12.136389
55,56,1953,March,18,7.3,Northwest,Turkey,1070.0,28.97953,41.015137
56,57,1954,September,9,6.8,Orleansville,Algeria,1250.0,1.325696,36.154817
57,58,1956,June,10,7.7,North,Afghanistan,2000.0,69.160652,34.543896
58,59,1957,July,2,7.1,North,Iran,1200.0,53.683,32.4207
59,60,1957,December,13,7.1,West,Iran,1130.0,51.418957,32.673881
60,61,1960,February,29,5.7,Agadir,Morocco,12000.0,-9.598107,30.427755
61,62,1960,May,21,9.5,South,Chile,1655.0,-70.673676,-40.447487
62,63,1962,September,1,7.1,Northwest,Iran,12255.0,51.404343,35.715298
63,64,1963,July,26,6.0,Skopje,Yugoslavia,1100.0,121.021382,14.4832908
64,65,1964,March,27,9.2,Alaska,United States,131.0,-153.369141,66.160507
65,66,1966,March,7,7.0,Hebei,China,1000.0,114.514893,38.042805
66,67,1966,March,22,6.9,Hebei,Chine,1000.0,114.514893,38.042805
67,68,1966,August,19,6.8,East,Turkey,2529.0,28.97953,41.015137
68,69,1968,August,31,7.3,Northeast,Iran,12000.0,53.688046,32.427908
69,70,1969,July,25,5.9,Guangdong,China,3000.0,113.25325,23.128994
70,71,1970,January,5,7.5,Yunnan,China,10000.0,102.706108,25.043333
71,72,1970,March,28,6.9,West,Turkey,1086.0,28.97953,41.015137
72,73,1970,May,31,7.9,Chimbote,Peru,700000.0,-78.589011,-9.063336
73,74,1971,February,9,6.6,San Fernando Valley,United States,65.0,-118.438972,34.281944
74,75,1971,May,22,6.9,SE of Ankara,Turkey,1000.0,28.97953,41.015137
75,76,1972,April,10,7.1,South,Iran,5054.0,53.683,32.4207
76,77,1972,December,23,6.2,Managua,Nicaragua,5000.0,-86.251389,12.136389
77,78,1974,May,10,6.8,,China,20000.0,104.195397,35.86166
78,79,1974,December,28,6.2,North,Pakistan,5300.0,74.308334,35.920834
79,80,1975,February,4,7.0,Haicheng,China,2000.0,122.74754,40.85158
80,81,1975,September,6,6.7,East,Turkey,2300.0,28.97953,41.015137
81,82,1976,February,4,7.5,,Guatemala,23000.0,-90.522713,14.628434
82,83,1976,May,6,6.5,Northeast,Italy,1000.0,41.902782,41.902782
83,84,1976,June,25,7.1,Irian Jaya,New Guinea,422.0,143.95555,-6.314993
84,85,1976,July,28,7.5,Tangshan,China,255000.0,118.18,39.631001
85,86,1976,August,16,7.9,Mindanao,Philippines,8000.0,125.461807,7.196276
86,87,1976,November,24,7.3,Northwest Border,Iran-Turkey,5000.0,52.5276,30.5292
87,88,1977,March,4,7.2,0,Romania,1500.0,26.096306,44.439663
88,89,1978,September,16,7.8,Northeast,Iran,15000.0,53.688046,32.427908
89,90,1980,October,10,7.7,Northwest,Algeria,5000.0,-0.630799,35.69707
90,91,1980,November,23,6.5,South,Italy,2735.0,12.496366,41.902782
91,92,1981,June,11,6.9,South,Iran,3000.0,53.0,32.0
92,93,1981,July,28,7.3,South,Iran,1500.0,53.0,32.0
93,94,1982,December,13,6.0,W Arabian Peninsula,0,2800.0,46.738586,24.774265
94,95,1983,October,30,6.9,East,Turkey,1342.0,28.97953,41.015137
95,96,1985,September,19,8.0,Michoacan,Mexico,9500.0,-101.6492,19.646402
96,97,1986,October,10,5.5,0,El Salvador,1000.0,-89.18718,13.68935
97,98,1987,March,6,7.0,Border,Colombia-Ecuador,1000.0,-77.71727,0.81187
98,99,1988,August,20,6.8,Border,India-Nepal,1000.0,84.852444,27.28166584
99,100,1988,December,7,6.8,Spitak,Armenia,25000.0,44.279788,40.831828
100,101,1989,October,17,6.9,San Francisco,United States,63.0,-122.431297,37.773972
101,102,1990,June,20,7.4,West,Iran,40000.0,51.418957,32.673881
102,103,1990,July,16,7.7,Luzon,Philippines,1621.0,121.262634,16.566233
103,104,1991,February,1,6.8,Border,Pakistan-Afghanistan,1200.0,67.71,33.9391
104,105,1991,October,19,7.0,North,India,2000.0,78.96288,20.593684
105,106,1992,March,13,6.8,East,Turkey,4000.0,28.97953,41.015137
106,107,1992,March,15,6.0,East,Turkey,0.0,28.97953,41.015137
107,108,1992,June,28,7.3,Landers,United States,3.0,-108.73067,42.83301
108,109,1992,June,28,6.5,Big Bear,United States,0.0,-116.911422,34.243896
109,110,1992,December,12,7.5,Flores Island,Indonesia,2500.0,121.2304,-8.4029
110,111,1993,September,30,6.2,Maharashtra,India,9748.0,78.96288,20.593684
111,112,1994,January,17,6.8,Northridge,United States,61.0,-118.530197,34.237923
112,113,1994,June,6,6.8,Cauca,Colombia,1000.0,-76.531985,3.451647
113,114,1995,January,16,6.9,Kobe,Japan,5502.0,135.195557,34.689999
114,115,1995,May,27,7.5,Sakhalin Island,Russia,1989.0,153.07576,47.88134
115,116,1997,February,28,6.1,Northwest,Iran,1000.0,53.0,32.0
116,117,1997,May,10,7.3,North,Iran,1567.0,53.0,32.0
117,118,1998,February,4,5.9,Hindu Kush,Afghanistan,2323.0,70.374,36.582
118,119,1998,May,30,6.6,Border,Afghanistan-Tajikistan,4000.0,72.24223992,36.34469524
119,120,1998,July,17,7.0,Papua,New Guinea,2183.0,143.9555,-6.315
120,121,1999,January,25,6.1,Armenia,Colombia,1185.0,-75.67569,4.535
121,122,1999,August,17,7.6,Izmit,Turkey,17118.0,29.916668,40.766666
122,123,1999,September,20,7.6,Taichung,Taiwan,2400.0,120.673645,24.147736
